Source,Target
1.17078E+18,630206666
1.17078E+18,56341402
1.17078E+18,43652382
1.17078E+18,34457073
1.17078E+18,14070439
1.17078E+18,16677638
1.17078E+18,390233181
1.17078E+18,495262329
1.17078E+18,788087298
1.17078E+18,325755342
1.17078E+18,2956121356
1.17078E+18,2573466488
1.17078E+18,59211780
1.17078E+18,8826872
1.17078E+18,47602120
1.17078E+18,14986849
1.17078E+18,19590257
1.17078E+18,36653441
1.17078E+18,93520904
1.17078E+18,34721078
1.17078E+18,3392755149
1.17078E+18,9316452
1.17078E+18,604344711
1.17078E+18,8373852
1.17078E+18,10236922
1.17078E+18,532746621
1.17078E+18,33315710
1.17078E+18,16507404
1.17078E+18,7.10165E+17
1.17078E+18,365002580
1.17078E+18,3379178554
1.17078E+18,62759563
1.17078E+18,204076287
1.17078E+18,62758623
1.17078E+18,8.50892E+17
1.17078E+18,9.54086E+17
1.17078E+18,2882893927
1.17078E+18,472562889
1.17078E+18,164644973
1.17078E+18,4038531
1.17078E+18,23851532
1.17078E+18,100184465
1.17078E+18,20801371
1.17078E+18,1730624881
1.17078E+18,1.0174E+18
1.17078E+18,60944552
1.17078E+18,14817871
1.17078E+18,355626264
1.17078E+18,382393
1.17078E+18,2165165029
1.17078E+18,236102260
1.17078E+18,14826566
1.17078E+18,23348794
1.17078E+18,2375680693
1.17078E+18,4851301840
1.17078E+18,146195370
1.17078E+18,1382910679
1.17078E+18,817382
1.17078E+18,8.40747E+17
1.17078E+18,7.96695E+17
1.17078E+18,21719973
1.17078E+18,3119778197
1.17078E+18,9.14274E+17
1.17078E+18,330151669
1.17078E+18,323257553
1.17078E+18,3077144869
1.17078E+18,25205155
1.17078E+18,17476667
1.17078E+18,20963651
1.17078E+18,41577808
1.17078E+18,30987011
1.17078E+18,72885746
1.17078E+18,15127356
1.17078E+18,255590123
1.17078E+18,21457289
1.17078E+18,17076940
1.17078E+18,135986860
1.17078E+18,32807399
1.17078E+18,547871798
1.17078E+18,19739240
1.17078E+18,8143682
1.17078E+18,14156241
1.17078E+18,8.3059E+17
1.17078E+18,768092862
1.17078E+18,3541536734
1.17078E+18,1508946960
1.17078E+18,103989154
1.17078E+18,2556126589
1.17078E+18,101561169
1.17078E+18,2329657867
1.17078E+18,73426884
1.17078E+18,18252261
1.17078E+18,9.32847E+17
1.17078E+18,9.81464E+17
1.17078E+18,2200789825
1.17078E+18,2815077014
1.17078E+18,1.1281E+18
1.17078E+18,326255896
1.17078E+18,19391874
1.17078E+18,37213193
1.17078E+18,227062815
1.17078E+18,36515907
1.17078E+18,38920168
1.17078E+18,2439364105
1.17078E+18,1.05229E+18
1.17078E+18,599071829
1.17078E+18,9.54109E+17
1.17078E+18,1061141504
1.17078E+18,201896973
1.17078E+18,112333725
1.17078E+18,7.98449E+17
1.17078E+18,412600434
1.17078E+18,9.48744E+17
1.17078E+18,2878552400
1.17078E+18,193755075
1.17078E+18,7.01632E+17
1.17078E+18,889696896
1.17078E+18,1735163995
1.17078E+18,8.2177E+17
1.17078E+18,519968288
1.17078E+18,187655958
1.17078E+18,9.61511E+17
1.17078E+18,1.14607E+18
1.17078E+18,767345894
1.17078E+18,2340437282
1.17078E+18,62044012
1.17078E+18,24267790
1.17078E+18,41216797
1.17078E+18,338810933
1.17078E+18,7.53801E+17
1.17078E+18,29178343
1.17078E+18,193227076
1.17078E+18,1410849198
